Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x84
operate, SSTORE, addr, 0x11b815efb8f581194ae79006d24e0d814b7697f6, inner, 0x84, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x11b815efb8f581194ae79006d24e0d814b7697f6, CALL, 1, 2
addr, 0x11b815efb8f581194ae79006d24e0d814b7697f6, func, swap(address,bool,int256,uint160,bytes), inner, 1, 5
func, swap(address,bool,int256,uint160,bytes), operate, SLOAD, inner, 5, 0x10000b400b400aefced9700000000000000000002c9638577c7e397d57297
operate, SLOAD, operate, SLOAD, inner, 0x10000b400b400aefced9700000000000000000002c9638577c7e397d57297, 0x10000b400b400aefced9700000000000000000002c9638577c7e397d57297
operate, SLOAD, operate, SSTORE, inner, 0x10000b400b400aefced9700000000000000000002c9638577c7e397d57297, 0xb400b400aefced9700000000000000000002c9638577c7e397d57297
operate, SSTORE, operate, SLOAD, inner, 0xb400b400aefced9700000000000000000002c9638577c7e397d57297, 0x7ae998712c5a8f74
operate, SLOAD, operate, SLOAD, inner, 0x7ae998712c5a8f74, 0x13e73dae2577ff19d8876c00d9dd84624aac
operate, SLOAD, operate, SLOAD, inner, 0x13e73dae2577ff19d8876c00d9dd84624aac, 0x7b5e68d0040594cf23cc6f99a3a2f50f7d19a9a877fe04d65d5fcf91da218407
operate, SLOAD, operate, SLOAD, inner, 0x7b5e68d0040594cf23cc6f99a3a2f50f7d19a9a877fe04d65d5fcf91da218407, 0xb400b400aefced9700000000000000000002c9638577c7e397d57297
operate, SLOAD, operate, SSTORE, inner, 0xb400b400aefced9700000000000000000002c9638577c7e397d57297, 0xb400b400aefced9700000000000000000002c9632acbd731be6b2b24
operate, SSTORE, operate, SSTORE, inner, 0xb400b400aefced9700000000000000000002c9632acbd731be6b2b24, 0x13e73dafa443a78ff5a608a7fc5e5c82be80
operate, SSTORE, addr, 0xdac17f958d2ee523a2206206994597c13d831ec7, inner, 0x13e73dafa443a78ff5a608a7fc5e5c82be80, 2
addr, 0x11b815efb8f581194ae79006d24e0d814b7697f6, addr, 0xdac17f958d2ee523a2206206994597c13d831ec7, CALL, 2, 3
addr, 0xdac17f958d2ee523a2206206994597c13d831ec7, func, transfer(address,uint256), inner, 2, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828
