Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x84
operate, SSTORE, addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, inner, 0x84, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, CALL, 1, 2
addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, func, swap(address,bool,int256,uint160,bytes), inner, 1, 5
func, swap(address,bool,int256,uint160,bytes), operate, SLOAD, inner, 5, 0x10002d202d201490310190000000000005930cfcaa86627955a878d8782a9
operate, SLOAD, operate, SLOAD, inner, 0x10002d202d201490310190000000000005930cfcaa86627955a878d8782a9, 0x10002d202d201490310190000000000005930cfcaa86627955a878d8782a9
operate, SLOAD, operate, SSTORE, inner, 0x10002d202d201490310190000000000005930cfcaa86627955a878d8782a9, 0x2d202d201490310190000000000005930cfcaa86627955a878d8782a9
operate, SSTORE, operate, SLOAD, inner, 0x2d202d201490310190000000000005930cfcaa86627955a878d8782a9, 0x1725b3180ea47ac0c
operate, SLOAD, operate, SLOAD, inner, 0x1725b3180ea47ac0c, 0xd46f4930162877f319346a9704d3322bbb9
operate, SLOAD, operate, SLOAD, inner, 0xd46f4930162877f319346a9704d3322bbb9, 0xdffffdfffffffffffbfffffffffffdfff7ffffff7fffff7ffffff7fdf7ffffff
operate, SLOAD, operate, SLOAD, inner, 0xdffffdfffffffffffbfffffffffffdfff7ffffff7fffff7ffffff7fdf7ffffff, 0x2d202d201490310190000000000005930cfcaa86627955a878d8782a9
operate, SLOAD, operate, SSTORE, inner, 0x2d202d201490310190000000000005930cfcaa86627955a878d8782a9, 0x2d202d201490310190000000000005930d58f3b90279b2b56894582e9
operate, SSTORE, operate, SSTORE, inner, 0x2d202d201490310190000000000005930d58f3b90279b2b56894582e9, 0xd46f493be7b237a961529e2a297bfc216c2
operate, SSTORE, addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, inner, 0xd46f493be7b237a961529e2a297bfc216c2, 2
addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, CALL, 2, 3
addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, func, undefined, inner, 2, N
func, undefined, operate, SLOAD, inner, N, 0x807a96288a1a408dbc13de2b1d087d10356395d2
operate, SLOAD, operate, SLOAD, inner, 0x807a96288a1a408dbc13de2b1d087d10356395d2, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf
operate, SLOAD, addr, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, inner, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, 3
addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, addr, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, DELEGATECALL, 3, 4
addr, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, func, transfer(address,uint256), inner, 3, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0xf0d160dec1749afaf5a831668093b1431f7c8527
operate, SLOAD, operate, SLOAD, inner, 0xf0d160dec1749afaf5a831668093b1431f7c8527, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x71cd89eb48d8
operate, SLOAD, operate, SLOAD, inner, 0x71cd89eb48d8, 0x71cd89eb48d8
operate, SLOAD, operate, SSTORE, inner, 0x71cd89eb48d8, 0x71cd452cc75d
operate, SSTORE, operate, SLOAD, inner, 0x71cd452cc75d, 0xe2526
operate, SLOAD, operate, SSTORE, inner, 0xe2526, 0x44cca6a1
operate, SSTORE, event, log, inner, 0x44cca6a1, LOG3
event, LOG3, addr, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, innerEventToReturn, LOG3, 3
addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 4, 3
addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, RETURN, 3, 2
addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, STATICCALL, 2, 3
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, balanceOf(address), inner, 2, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0xafb04e20efad88bfab5
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerOperateToReturn, 0xafb04e20efad88bfab5, 2
addr, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, RETURN, 3, 2
addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, CALL, 2, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, func, uniswapV3SwapCallback(int256,int256,bytes), inner, 2, 3
