Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SSTORE, inner, 0x0, 0xa4
operate, SSTORE, addr, 0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, inner, 0xa4, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, CALL, 1, 2
addr, 0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, func, swap(uint256,uint256,address,bytes), inner, 1, 4
func, swap(uint256,uint256,address,bytes), operate, SLOAD, inner, 4, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x0
operate, SSTORE, operate, SLOAD, inner, 0x0, 0x6494c93f00000000032c9dac51d126a1af02000000000000000019aeee76731d
operate, SLOAD, operate, SLOAD, inner, 0x6494c93f00000000032c9dac51d126a1af02000000000000000019aeee76731d, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
operate, SLOAD, operate, SLOAD, inner, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
operate, SLOAD, addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, inner, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, 2
addr, 0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, CALL, 2, 3
addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, func, transfer(address,uint256), inner, 2, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0x807a96288a1a408dbc13de2b1d087d10356395d2
operate, SLOAD, operate, SLOAD, inner, 0x807a96288a1a408dbc13de2b1d087d10356395d2, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf
operate, SLOAD, addr, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, inner, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, 3
addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, addr, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, DELEGATECALL, 3, 4
addr, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, func, transfer(address,uint256), inner, 3, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0xf0d160dec1749afaf5a831668093b1431f7c8527
operate, SLOAD, operate, SLOAD, inner, 0xf0d160dec1749afaf5a831668093b1431f7c8527, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x19aeee76731d
operate, SLOAD, operate, SLOAD, inner, 0x19aeee76731d, 0x19aeee76731d
operate, SLOAD, operate, SSTORE, inner, 0x19aeee76731d, 0x19aeca6652ca
operate, SSTORE, operate, SLOAD, inner, 0x19aeca6652ca, 0xe252a
operate, SLOAD, operate, SSTORE, inner, 0xe252a, 0x241e457d
operate, SSTORE, event, log, inner, 0x241e457d, LOG3
event, LOG3, addr, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, innerEventToReturn, LOG3, 3
addr, 0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 4, 3
addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, addr, 0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, RETURN, 3, 2
addr, 0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, CALL, 2, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, func, uniswapV2Call(address,uint256,uint256,bytes), inner, 2, 4
func, uniswapV2Call(address,uint256,uint256,bytes), operate, SLOAD, inner, 4, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0xa4
operate, SLOAD, operate, SSTORE, inner, 0xa4, 0x84
operate, SSTORE, addr, 0x7270233ccae676e776a659affc35219e6fcfbb10, inner, 0x84, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x7270233ccae676e776a659affc35219e6fcfbb10, CALL, 3, 4
addr, 0x7270233ccae676e776a659affc35219e6fcfbb10, func, swap(address,bool,int256,uint160,bytes), inner, 3, 5
func, swap(address,bool,int256,uint160,bytes), operate, SLOAD, inner, 5, 0x1000001000100000474640000000000214ff1952d7b97ec4e62d2063245dd
operate, SLOAD, operate, SLOAD, inner, 0x1000001000100000474640000000000214ff1952d7b97ec4e62d2063245dd, 0x1000001000100000474640000000000214ff1952d7b97ec4e62d2063245dd
operate, SLOAD, operate, SSTORE, inner, 0x1000001000100000474640000000000214ff1952d7b97ec4e62d2063245dd, 0x1000100000474640000000000214ff1952d7b97ec4e62d2063245dd
operate, SSTORE, operate, SLOAD, inner, 0x1000100000474640000000000214ff1952d7b97ec4e62d2063245dd, 0x155297005a9e80d
operate, SLOAD, operate, SLOAD, inner, 0x155297005a9e80d, 0x3ea5291d567c3bc6ddee4a655c9
operate, SLOAD, operate, SLOAD, inner, 0x3ea5291d567c3bc6ddee4a655c9, 0x80000000000000
operate, SLOAD, operate, SLOAD, inner, 0x80000000000000, 0x4008000020000000000000000000080000000
