Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x84
operate, SSTORE, addr, 0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011, inner, 0x84, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011, CALL, 1, 2
addr, 0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011, func, swap(address,bool,int256,uint160,bytes), inner, 1, 5
func, swap(address,bool,int256,uint160,bytes), operate, SLOAD, inner, 5, 0x100012c012c009f01953800000000000000b2da92a5639c0ba387a512fd60
operate, SLOAD, operate, SLOAD, inner, 0x100012c012c009f01953800000000000000b2da92a5639c0ba387a512fd60, 0x100012c012c009f01953800000000000000b2da92a5639c0ba387a512fd60
operate, SLOAD, operate, SSTORE, inner, 0x100012c012c009f01953800000000000000b2da92a5639c0ba387a512fd60, 0x12c012c009f01953800000000000000b2da92a5639c0ba387a512fd60
operate, SSTORE, operate, SLOAD, inner, 0x12c012c009f01953800000000000000b2da92a5639c0ba387a512fd60, 0x24573e1ab25ff0d89fb4
operate, SLOAD, operate, SLOAD, inner, 0x24573e1ab25ff0d89fb4, 0x3b0ac188af768d5b1dbad19c47b772a
operate, SLOAD, operate, SLOAD, inner, 0x3b0ac188af768d5b1dbad19c47b772a, 0x20010002600000000152008400000010012010280000a02040140092
operate, SLOAD, operate, SLOAD, inner, 0x20010002600000000152008400000010012010280000a02040140092, 0x10000000000000000000068f23fded7ff8ffd9c6500038b5bf81a9b6492aacf
operate, SLOAD, operate, SLOAD, inner, 0x10000000000000000000068f23fded7ff8ffd9c6500038b5bf81a9b6492aacf, 0x12c012c009f01953800000000000000b2da92a5639c0ba387a512fd60
operate, SLOAD, operate, SSTORE, inner, 0x12c012c009f01953800000000000000b2da92a5639c0ba387a512fd60, 0x12c012c009f01952100000000000000b2a5555ecb75bdb09691d0f3ce
operate, SSTORE, operate, SSTORE, inner, 0x12c012c009f01952100000000000000b2a5555ecb75bdb09691d0f3ce, 0x3b0ac6ca91d751d80cf394d895c9fa6
operate, SSTORE, addr, 0xf4d2888d29d722226fafa5d9b24f9164c092421e, inner, 0x3b0ac6ca91d751d80cf394d895c9fa6, 2
addr, 0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011, addr, 0xf4d2888d29d722226fafa5d9b24f9164c092421e, CALL, 2, 3
addr, 0xf4d2888d29d722226fafa5d9b24f9164c092421e, func, transfer(address,uint256), inner, 2, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0x14861cbb1cceb5ccae41d0
operate, SLOAD, operate, SSTORE, inner, 0x14861cbb1cceb5ccae41d0, 0x147e8df87207333e628a3b
operate, SSTORE, operate, SLOAD, inner, 0x147e8df87207333e628a3b, 0x1312c2db9ecbf7a7d61aa
operate, SLOAD, operate, SSTORE, inner, 0x1312c2db9ecbf7a7d61aa, 0x138baf064b44208c9193f
operate, SSTORE, event, log, inner, 0x138baf064b44208c9193f, LOG3
event, LOG3, addr, 0xf4d2888d29d722226fafa5d9b24f9164c092421e, innerEventToReturn, LOG3, 2
addr, 0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 3, 2
addr, 0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, STATICCALL, 2, 3
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, balanceOf(address), inner, 2, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x9c27d45b8717e3771
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerOperateToReturn, 0x9c27d45b8717e3771, 2
addr, 0xf4d2888d29d722226fafa5d9b24f9164c092421e, addr, 0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011, RETURN, 3, 2
addr, 0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, CALL, 2, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, func, uniswapV3SwapCallback(int256,int256,bytes), inner, 2, 3
func, uniswapV3SwapCallback(int256,int256,bytes), operate, SLOAD, inner, 3, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x84
operate, SLOAD, addr, 0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7, inner, 0x84, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7, CALL, 3, 4
addr, 0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7, func, swap(uint256,uint256,address,bytes), inner, 3, 4
func, swap(uint256,uint256,address,bytes), operate, SLOAD, inner, 4, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x0
operate, SSTORE, operate, SLOAD, inner, 0x0, 0x6492aacf00000001312c2db9ecbf7a7d61aa0000000000029919ebe4ce0692cf
operate, SLOAD, operate, SLOAD, inner, 0x6492aacf00000001312c2db9ecbf7a7d61aa0000000000029919ebe4ce0692cf, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
operate, SLOAD, operate, SLOAD, inner, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, 0xf4d2888d29d722226fafa5d9b24f9164c092421e
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, inner, 0xf4d2888d29d722226fafa5d9b24f9164c092421e, 4
addr, 0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, CALL, 4, 5
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, transfer(address,uint256), inner, 4, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0x29919ebe4ce0692cf
operate, SLOAD, operate, SLOAD, inner, 0x29919ebe4ce0692cf, 0x29919ebe4ce0692cf
operate, SLOAD, operate, SSTORE, inner, 0x29919ebe4ce0692cf, 0x2891333e71b797639
operate, SSTORE, operate, SLOAD, inner, 0x2891333e71b797639, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x1006b7fdb28d1c97
operate, SSTORE, event, log, inner, 0x1006b7fdb28d1c97, LOG3
event, LOG3, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerEventToReturn, LOG3, 4
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011, RETURN, 5, 4
addr, 0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, STATICCALL, 4, 5
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, balanceOf(address), inner, 4, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x2891333e71b797639
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerOperateToReturn, 0x2891333e71b797639, 4
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011, RETURN, 5, 4
addr, 0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7, addr, 0xf4d2888d29d722226fafa5d9b24f9164c092421e, STATICCALL, 4, 5
addr, 0xf4d2888d29d722226fafa5d9b24f9164c092421e, func, balanceOf(address), inner, 4, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x138baf064b44208c9193f
operate, SLOAD, addr, 0xf4d2888d29d722226fafa5d9b24f9164c092421e, innerOperateToReturn, 0x138baf064b44208c9193f, 4
addr, 0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 5, 4
operate, SLOAD, operate, SLOAD, inner, 0x6492aacf00000001312c2db9ecbf7a7d61aa0000000000029919ebe4ce0692cf, 0x6492aacf00000001312c2db9ecbf7a7d61aa0000000000029919ebe4ce0692cf
operate, SLOAD, operate, SSTORE, inner, 0x6492aacf00000001312c2db9ecbf7a7d61aa0000000000029919ebe4ce0692cf, 0x6492aacf0000000138baf064b44208c9193f000000000002891333e71b797639
operate, SSTORE, event, log, inner, 0x6492aacf0000000138baf064b44208c9193f000000000002891333e71b797639, LOG1
event, LOG1, event, log, inner, LOG1, LOG3
event, LOG3, operate, SSTORE, inner, LOG3, 0x1
operate, SSTORE, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, inner, 0x1, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, CALL, 3, 4
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, transfer(address,uint256), inner, 3, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0x1006b7fdb28d1c97
operate, SLOAD, operate, SLOAD, inner, 0x1006b7fdb28d1c97, 0x1006b7fdb28d1c97
operate, SLOAD, operate, SSTORE, inner, 0x1006b7fdb28d1c97, 0x7a5f3cbeda9d06
operate, SSTORE, operate, SLOAD, inner, 0x7a5f3cbeda9d06, 0x9c27d45b8717e3771
operate, SLOAD, operate, SSTORE, inner, 0x9c27d45b8717e3771, 0x9d2099e796530b702
operate, SSTORE, event, log, inner, 0x9d2099e796530b702, LOG3
event, LOG3, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerEventToReturn, LOG3, 3
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7, RETURN, 4, 3
addr, 0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, STATICCALL, 2, 3
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, balanceOf(address), inner, 2, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x9d2099e796530b702
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerOperateToReturn, 0x9d2099e796530b702, 2
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7, RETURN, 3, 2
event, LOG3, operate, SLOAD, inner, LOG3, 0x12c012c009f01952100000000000000b2a5555ecb75bdb09691d0f3ce
operate, SLOAD, operate, SSTORE, inner, 0x12c012c009f01952100000000000000b2a5555ecb75bdb09691d0f3ce, 0x100012c012c009f01952100000000000000b2a5555ecb75bdb09691d0f3ce
operate, SSTORE, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerOperateToReturn, 0x100012c012c009f01952100000000000000b2a5555ecb75bdb09691d0f3ce, 2
addr, 0xf4d2888d29d722226fafa5d9b24f9164c092421e, addr, 0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7, RETURN, 2, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, STATICCALL, 1, 2
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, balanceOf(address), inner, 1, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x7a5f3cbeda9d06
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerOperateToReturn, 0x7a5f3cbeda9d06, 1
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 2, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, CALL, 1, 2
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, withdraw(uint256), inner, 1, 1
func, withdraw(uint256), operate, SLOAD, inner, 1, 0x7a5f3cbeda9d06
operate, SLOAD, operate, SLOAD, inner, 0x7a5f3cbeda9d06, 0x7a5f3cbeda9d06
operate, SLOAD, operate, SSTORE, inner, 0x7a5f3cbeda9d06, 0x1
operate, SSTORE, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, inner, 0x1, 2
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, CALL, 2, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, func, undefined, inner, 2, N
func, undefined, event, log, inner, N, LOG2
event, LOG2, operate, SSTORE, inner, LOG2, 0xb00b5babefeebabebeefbabeb00b5babefeebabebeefbabeb00b5babefeebabe
operate, SSTORE, addr, 0x388c818ca8b9251b393131c08a736a67ccb19297, inner, 0xb00b5babefeebabebeefbabeb00b5babefeebabebeefbabeb00b5babefeebabe, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x388c818ca8b9251b393131c08a736a67ccb19297, CALL, 1, 2
addr, 0x388c818ca8b9251b393131c08a736a67ccb19297, func, undefined, inner, 1, N
func, undefined, event, log, inner, N, LOG1
event, LOG1, addr, 0xc0ffeebabe5d496b2dde509f9fa189c25cf29671, inner, LOG1, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xc0ffeebabe5d496b2dde509f9fa189c25cf29671, CALL, 1, 2
addr, 0xc0ffeebabe5d496b2dde509f9fa189c25cf29671, func, undefined, inner, 1, N
func, undefined, 
