Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, addr, 0x8507673bee915646a7e837b9e90d6494c303e6fa, inner, 0x0, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x8507673bee915646a7e837b9e90d6494c303e6fa, CALL, 1, 2
addr, 0x8507673bee915646a7e837b9e90d6494c303e6fa, func, swap(uint256,uint256,address,bytes), inner, 1, 4
func, swap(uint256,uint256,address,bytes), operate, SLOAD, inner, 4, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x0
operate, SSTORE, operate, SLOAD, inner, 0x0, 0x648cef270000000057e530ceae72aad712ab00000000000015b0849d57c051a3
operate, SLOAD, operate, SLOAD, inner, 0x648cef270000000057e530ceae72aad712ab00000000000015b0849d57c051a3, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
operate, SLOAD, operate, SLOAD, inner, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, 0xcccf837f40d334f8602f031e64b52ad4cd2b6601
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, inner, 0xcccf837f40d334f8602f031e64b52ad4cd2b6601, 2
addr, 0x8507673bee915646a7e837b9e90d6494c303e6fa, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, CALL, 2, 3
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, transfer(address,uint256), inner, 2, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0x15b0849d57c051a3
operate, SLOAD, operate, SLOAD, inner, 0x15b0849d57c051a3, 0x15b0849d57c051a3
operate, SLOAD, operate, SSTORE, inner, 0x15b0849d57c051a3, 0x1475fac555212b01
operate, SSTORE, operate, SLOAD, inner, 0x1475fac555212b01, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x13a89d8029f26a3
operate, SSTORE, event, log, inner, 0x13a89d8029f26a3, LOG3
event, LOG3, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerEventToReturn, LOG3, 2
addr, 0x8507673bee915646a7e837b9e90d6494c303e6fa, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 3, 2
