Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SLOAD, inner, 0x10000000000000000000000048b1285f664aa4a33fffee7ddb69f10649283b7, 0x1000000000000000000000004879bf081d4cf5ec0fffee83bc218b4649266b3
operate, SLOAD, operate, SSTORE, inner, 0x1000000000000000000000004879bf081d4cf5ec0fffee83bc218b4649266b3, 0x10000000000000000000000048b32089609d46597fffee7da5fa9a8649284bf
operate, SSTORE, operate, SLOAD, inner, 0x10000000000000000000000048b32089609d46597fffee7da5fa9a8649284bf, 0xc000c0009fcc2f3000000000000000000019d55f464a90e128992bd
operate, SLOAD, operate, SSTORE, inner, 0xc000c0009fcc2f3000000000000000000019d55f464a90e128992bd, 0xc000c000afcc2480000000000000000000199cf15d20b11cbcadd26
operate, SSTORE, operate, SSTORE, inner, 0xc000c000afcc2480000000000000000000199cf15d20b11cbcadd26, 0x10e4bf22abe574f68ff7ce325e75490a6fd9a
operate, SSTORE, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, inner, 0x10e4bf22abe574f68ff7ce325e75490a6fd9a, 4
addr, 0xf239009a101b6b930a527deaab6961b6e7dec8a6, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, CALL, 4, 5
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, transfer(address,uint256), inner, 4, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0x431027575603e655a
operate, SLOAD, operate, SLOAD, inner, 0x431027575603e655a, 0x431027575603e655a
operate, SLOAD, operate, SSTORE, inner, 0x431027575603e655a, 0x4137603a600e073c7
operate, SSTORE, operate, SLOAD, inner, 0x4137603a600e073c7, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x1d8c71cf5f5df194
operate, SSTORE, event, log, inner, 0x1d8c71cf5f5df194, LOG3
event, LOG3, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerEventToReturn, LOG3, 4
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0x11950d141ecb863f01007add7d1a342041227b58, RETURN, 5, 4
addr, 0xf239009a101b6b930a527deaab6961b6e7dec8a6, addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, STATICCALL, 4, 5
addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, func, balanceOf(address), inner, 4, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x48687f1a605bab0300dca2732
operate, SLOAD, addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, innerOperateToReturn, 0x48687f1a605bab0300dca2732, 4
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x11950d141ecb863f01007add7d1a342041227b58, RETURN, 5, 4
addr, 0xf239009a101b6b930a527deaab6961b6e7dec8a6, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, CALL, 4, 5
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, func, uniswapV3SwapCallback(int256,int256,bytes), inner, 4, 3
func, uniswapV3SwapCallback(int256,int256,bytes), operate, SLOAD, inner, 3, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x84
operate, SLOAD, addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, inner, 0x84, 5
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, CALL, 5, 6
addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, func, transfer(address,uint256), inner, 5, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0x0
