Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x84
operate, SSTORE, addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, inner, 0x84, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, CALL, 1, 2
addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, func, swap(address,bool,int256,uint160,bytes), inner, 1, 5
func, swap(address,bool,int256,uint160,bytes), operate, SLOAD, inner, 5, 0x10002d202d200a4031050000000000000596fd495a9ad02ba1c2b389aadcd
operate, SLOAD, operate, SLOAD, inner, 0x10002d202d200a4031050000000000000596fd495a9ad02ba1c2b389aadcd, 0x10002d202d200a4031050000000000000596fd495a9ad02ba1c2b389aadcd
operate, SLOAD, operate, SSTORE, inner, 0x10002d202d200a4031050000000000000596fd495a9ad02ba1c2b389aadcd, 0x2d202d200a4031050000000000000596fd495a9ad02ba1c2b389aadcd
operate, SSTORE, operate, SLOAD, inner, 0x2d202d200a4031050000000000000596fd495a9ad02ba1c2b389aadcd, 0x2040f45f0e8b76201
operate, SLOAD, operate, SLOAD, inner, 0x2040f45f0e8b76201, 0x764a44bd64dc700cda381e008b95
operate, SLOAD, operate, SLOAD, inner, 0x764a44bd64dc700cda381e008b95, 0xdffffdfffffffffffbfffffffffffdfff7ffffff7fffff7ffffff7fdf7ffffff
operate, SLOAD, operate, SLOAD, inner, 0xdffffdfffffffffffbfffffffffffdfff7ffffff7fffff7ffffff7fdf7ffffff, 0x10000000000000001ea2d68e4da98da3601655651000c31e89c65d36494183f
operate, SLOAD, operate, SLOAD, inner, 0x10000000000000001ea2d68e4da98da3601655651000c31e89c65d36494183f, 0x2d202d200a4031050000000000000596fd495a9ad02ba1c2b389aadcd
operate, SLOAD, operate, SSTORE, inner, 0x2d202d200a4031050000000000000596fd495a9ad02ba1c2b389aadcd, 0x2d202d200a403104f000000000000596ee9d33a229b7c8a60cd8bd502
operate, SSTORE, operate, SSTORE, inner, 0x2d202d200a403104f000000000000596ee9d33a229b7c8a60cd8bd502, 0x764a45b3b8fb949c9135711fa332
operate, SSTORE, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, inner, 0x764a45b3b8fb949c9135711fa332, 2
addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, CALL, 2, 3
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, transfer(address,uint256), inner, 2, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0xb9930ee1b05c36d436d
operate, SLOAD, operate, SLOAD, inner, 0xb9930ee1b05c36d436d, 0xb9930ee1b05c36d436d
operate, SLOAD, operate, SSTORE, inner, 0xb9930ee1b05c36d436d, 0xb9757b030aaee77dd6f
operate, SSTORE, operate, SLOAD, inner, 0xb9757b030aaee77dd6f, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x1d93dea5ad4f565ff
operate, SSTORE, event, log, inner, 0x1d93dea5ad4f565ff, LOG3
event, LOG3, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerEventToReturn, LOG3, 2
addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 3, 2
addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, STATICCALL, 2, 3
addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, func, balanceOf(address), inner, 2, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x807a96288a1a408dbc13de2b1d087d10356395d2
operate, SLOAD, operate, SLOAD, inner, 0x807a96288a1a408dbc13de2b1d087d10356395d2, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf
operate, SLOAD, addr, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, inner, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, 3
addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, addr, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, DELEGATECALL, 3, 4
addr, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, func, balanceOf(address), inner, 3, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x6e40f7d656cd
operate, SLOAD, addr, 0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf, innerOperateToReturn, 0x6e40f7d656cd, 3
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, RETURN, 4, 3
addr, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, RETURN, 3, 2
addr, 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, CALL, 2, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, func, uniswapV3SwapCallback(int256,int256,bytes), inner, 2, 3
