Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SSTORE, inner, 0x0, 0xa4
operate, SSTORE, addr, 0x061883cd8a060ef5b8d83cde362c3fdbd8162eee, inner, 0xa4, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x061883cd8a060ef5b8d83cde362c3fdbd8162eee, CALL, 1, 2
addr, 0x061883cd8a060ef5b8d83cde362c3fdbd8162eee, func, swap(uint256,uint256,address,bytes), inner, 1, 4
func, swap(uint256,uint256,address,bytes), operate, SLOAD, inner, 4, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x0
operate, SSTORE, operate, SLOAD, inner, 0x0, 0x6493669700000000ff829dae6a09d29aea880000000000335abfc58f5507ce6d
operate, SLOAD, operate, SLOAD, inner, 0x6493669700000000ff829dae6a09d29aea880000000000335abfc58f5507ce6d, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
operate, SLOAD, operate, SLOAD, inner, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, 0xf1182229b71e79e504b1d2bf076c15a277311e05
operate, SLOAD, addr, 0xf1182229b71e79e504b1d2bf076c15a277311e05, inner, 0xf1182229b71e79e504b1d2bf076c15a277311e05, 2
addr, 0x061883cd8a060ef5b8d83cde362c3fdbd8162eee, addr, 0xf1182229b71e79e504b1d2bf076c15a277311e05, CALL, 2, 3
addr, 0xf1182229b71e79e504b1d2bf076c15a277311e05, func, transfer(address,uint256), inner, 2, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0xff829dae6a09d29aea88
operate, SLOAD, operate, SSTORE, inner, 0xff829dae6a09d29aea88, 0xff3bf293053f82e0a2ed
operate, SSTORE, operate, SLOAD, inner, 0xff3bf293053f82e0a2ed, 0x0
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x46ab1b64ca4fba479b
operate, SSTORE, event, log, inner, 0x46ab1b64ca4fba479b, LOG3
event, LOG3, addr, 0xf1182229b71e79e504b1d2bf076c15a277311e05, innerEventToReturn, LOG3, 2
addr, 0x061883cd8a060ef5b8d83cde362c3fdbd8162eee, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 3, 2
addr, 0x061883cd8a060ef5b8d83cde362c3fdbd8162eee, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, CALL, 2, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, func, uniswapV2Call(address,uint256,uint256,bytes), inner, 2, 4
func, uniswapV2Call(address,uint256,uint256,bytes), operate, SLOAD, inner, 4, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0xa4
operate, SLOAD, operate, SSTORE, inner, 0xa4, 0x84
operate, SSTORE, addr, 0x5a96fa6f86d8c96abb69bbf7d7d4b42d1d07bc9d, inner, 0x84, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x5a96fa6f86d8c96abb69bbf7d7d4b42d1d07bc9d, CALL, 3, 4
addr, 0x5a96fa6f86d8c96abb69bbf7d7d4b42d1d07bc9d, func, swap(address,bool,int256,uint160,bytes), inner, 3, 5
func, swap(address,bool,int256,uint160,bytes), operate, SLOAD, inner, 5, 0x1000001000100000116380000000000000023330b2c3b9ccc58587f2686a4
operate, SLOAD, operate, SLOAD, inner, 0x1000001000100000116380000000000000023330b2c3b9ccc58587f2686a4, 0x1000001000100000116380000000000000023330b2c3b9ccc58587f2686a4
operate, SLOAD, operate, SSTORE, inner, 0x1000001000100000116380000000000000023330b2c3b9ccc58587f2686a4, 0x1000100000116380000000000000023330b2c3b9ccc58587f2686a4
operate, SSTORE, operate, SLOAD, inner, 0x1000100000116380000000000000023330b2c3b9ccc58587f2686a4, 0x14b88eff1597819ced1
operate, SLOAD, operate, SLOAD, inner, 0x14b88eff1597819ced1, 0x3cbd5fb3fa6ec4347eb4bf107e4fdcabd
operate, SLOAD, operate, SLOAD, inner, 0x3cbd5fb3fa6ec4347eb4bf107e4fdcabd, 0x22988c02a0c94170983524980840000000000
operate, SLOAD, operate, SLOAD, inner, 0x22988c02a0c94170983524980840000000000, 0x100004a3400000000000020b4402cc74b4edba4bb0000235ecc017464936697
operate, SLOAD, operate, SLOAD, inner, 0x100004a3400000000000020b4402cc74b4edba4bb0000235ecc017464936697, 0x1000100000116380000000000000023330b2c3b9ccc58587f2686a4
operate, SLOAD, operate, SSTORE, inner, 0x1000100000116380000000000000023330b2c3b9ccc58587f2686a4, 0x1000100000116af00000000000000236910d160b643992bd29fcf69
operate, SSTORE, operate, SSTORE, inner, 0x1000100000116af00000000000000236910d160b643992bd29fcf69, 0x3cc61acc151d8c7d084ee8170202bf4f1
operate, SSTORE, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, inner, 0x3cc61acc151d8c7d084ee8170202bf4f1, 4
addr, 0x5a96fa6f86d8c96abb69bbf7d7d4b42d1d07bc9d, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, CALL, 4, 5
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, transfer(address,uint256), inner, 4, 2
