Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x84
operate, SSTORE, addr, 0x11b815efb8f581194ae79006d24e0d814b7697f6, inner, 0x84, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x11b815efb8f581194ae79006d24e0d814b7697f6, CALL, 1, 2
addr, 0x11b815efb8f581194ae79006d24e0d814b7697f6, func, swap(address,bool,int256,uint160,bytes), inner, 1, 5
func, swap(address,bool,int256,uint160,bytes), operate, SLOAD, inner, 5, 0x10000b400b40087fcef5600000000000000000002d98097a8a4225bd0803c
operate, SLOAD, operate, SLOAD, inner, 0x10000b400b40087fcef5600000000000000000002d98097a8a4225bd0803c, 0x10000b400b40087fcef5600000000000000000002d98097a8a4225bd0803c
operate, SLOAD, operate, SSTORE, inner, 0x10000b400b40087fcef5600000000000000000002d98097a8a4225bd0803c, 0xb400b40087fcef5600000000000000000002d98097a8a4225bd0803c
operate, SSTORE, operate, SLOAD, inner, 0xb400b40087fcef5600000000000000000002d98097a8a4225bd0803c, 0x851aa6762f6d3ef3
operate, SLOAD, operate, SLOAD, inner, 0x851aa6762f6d3ef3, 0x9176a0921ba1cac79223c1712c2b
operate, SLOAD, operate, SLOAD, inner, 0x9176a0921ba1cac79223c1712c2b, 0x7b5e68d004059ccf03cf6fb9a3fae52f7f5ba1a475bc44d25f51cdd1da258403
operate, SLOAD, operate, SLOAD, inner, 0x7b5e68d004059ccf03cf6fb9a3fae52f7f5ba1a475bc44d25f51cdd1da258403, 0x10000000000000009a91b1c92220a09ca3a5dfec8fff3cdd26b9ef964942bb3
operate, SLOAD, operate, SLOAD, inner, 0x10000000000000009a91b1c92220a09ca3a5dfec8fff3cdd26b9ef964942bb3, 0x10000000000000009a91ab7446e044265e49b8acefff3ce6a12c6656493fa33
operate, SLOAD, operate, SSTORE, inner, 0x10000000000000009a91ab7446e044265e49b8acefff3ce6a12c6656493fa33, 0x10000000000000009a91b1ca9366fe6b4bc12af3bfff3cdd246d70164942bbf
operate, SSTORE, operate, SLOAD, inner, 0x10000000000000009a91b1ca9366fe6b4bc12af3bfff3cdd246d70164942bbf, 0xb400b40087fcef5600000000000000000002d98097a8a4225bd0803c
operate, SLOAD, operate, SSTORE, inner, 0xb400b40087fcef5600000000000000000002d98097a8a4225bd0803c, 0xb400b40088fcef5800000000000000000002d98ed6220f827506da43
