Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SSTORE, inner, 0xbfebeab3e4f9711bb, 0xbfc3e31224fe8c6a8
operate, SSTORE, operate, SLOAD, inner, 0xbfc3e31224fe8c6a8, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x2807a1bffae4b14
operate, SSTORE, event, log, inner, 0x2807a1bffae4b14, LOG3
event, LOG3, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerEventToReturn, LOG3, 4
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0x5e7c5704e3d77d9f737940fefaac9bcae400b769, RETURN, 5, 4
addr, 0xf64e49c1d1d2b1cfa570b1da6481dc8dc95cd093, addr, 0x0e9cc0f7e550bd43bd2af2214563c47699f96479, STATICCALL, 4, 5
addr, 0x0e9cc0f7e550bd43bd2af2214563c47699f96479, func, balanceOf(address), inner, 4, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x293ee0a0b139d74ac9ce40c
operate, SLOAD, addr, 0x0e9cc0f7e550bd43bd2af2214563c47699f96479, innerOperateToReturn, 0x293ee0a0b139d74ac9ce40c, 4
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x5e7c5704e3d77d9f737940fefaac9bcae400b769, RETURN, 5, 4
addr, 0xf64e49c1d1d2b1cfa570b1da6481dc8dc95cd093, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, STATICCALL, 4, 5
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, balanceOf(address), inner, 4, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0xbfc3e31224fe8c6a8
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerOperateToReturn, 0xbfc3e31224fe8c6a8, 4
addr, 0xf64e49c1d1d2b1cfa570b1da6481dc8dc95cd093, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 5, 4
operate, SLOAD, operate, SLOAD, inner, 0x6494360300000000000bfebeab3e4f9711bb0000029363fb36ba3e42deefd13c, 0x6494360300000000000bfebeab3e4f9711bb0000029363fb36ba3e42deefd13c
operate, SLOAD, operate, SSTORE, inner, 0x6494360300000000000bfebeab3e4f9711bb0000029363fb36ba3e42deefd13c, 0x6494360300000000000bfc3e31224fe8c6a800000293ee0a0b139d74ac9ce40c
operate, SSTORE, event, log, inner, 0x6494360300000000000bfc3e31224fe8c6a800000293ee0a0b139d74ac9ce40c, LOG1
event, LOG1, event, log, inner, LOG1, LOG3
event, LOG3, operate, SSTORE, inner, LOG3, 0x1
operate, SSTORE, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, inner, 0x1, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, CALL, 3, 4
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, transfer(address,uint256), inner, 3, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0x2807a1bffae4b14
operate, SLOAD, operate, SLOAD, inner, 0x2807a1bffae4b14, 0x2807a1bffae4b14
operate, SLOAD, operate, SSTORE, inner, 0x2807a1bffae4b14, 0x328cece3c55d71
operate, SSTORE, operate, SLOAD, inner, 0x328cece3c55d71, 0x15f22a72083b93be
operate, SLOAD, operate, SSTORE, inner, 0x15f22a72083b93be, 0x184017a124248161
operate, SSTORE, event, log, inner, 0x184017a124248161, LOG3
event, LOG3, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerEventToReturn, LOG3, 3
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0xf64e49c1d1d2b1cfa570b1da6481dc8dc95cd093, RETURN, 4, 3
addr, 0x5e7c5704e3d77d9f737940fefaac9bcae400b769, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, STATICCALL, 2, 3
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, balanceOf(address), inner, 2, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x184017a124248161
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerOperateToReturn, 0x184017a124248161, 2
addr, 0x0e9cc0f7e550bd43bd2af2214563c47699f96479, addr, 0xf64e49c1d1d2b1cfa570b1da6481dc8dc95cd093, RETURN, 3, 2
event, LOG3, operate, SLOAD, inner, LOG3, 0x100010000fdaf94000000000000000000215f8a7af20367d1cbbe30
operate, SLOAD, operate, SSTORE, inner, 0x100010000fdaf94000000000000000000215f8a7af20367d1cbbe30, 0x100000100010000fdaf94000000000000000000215f8a7af20367d1cbbe30
