Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x84
operate, SSTORE, addr, 0x99a6880748ceb61c3d9b6d4cd49edb59f79f405d, inner, 0x84, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x99a6880748ceb61c3d9b6d4cd49edb59f79f405d, CALL, 1, 2
addr, 0x99a6880748ceb61c3d9b6d4cd49edb59f79f405d, func, swap(address,bool,int256,uint160,bytes), inner, 1, 5
func, swap(address,bool,int256,uint160,bytes), operate, SLOAD, inner, 5, 0x10000010001000002242b000000000000045a983ca8598a33563c8cddb7b7
operate, SLOAD, operate, SLOAD, inner, 0x10000010001000002242b000000000000045a983ca8598a33563c8cddb7b7, 0x10000010001000002242b000000000000045a983ca8598a33563c8cddb7b7
operate, SLOAD, operate, SSTORE, inner, 0x10000010001000002242b000000000000045a983ca8598a33563c8cddb7b7, 0x10001000002242b000000000000045a983ca8598a33563c8cddb7b7
operate, SSTORE, operate, SLOAD, inner, 0x10001000002242b000000000000045a983ca8598a33563c8cddb7b7, 0x911126b77783aa
operate, SLOAD, operate, SLOAD, inner, 0x911126b77783aa, 0x5c41e603ca06b0353ac94690d04dbfd757
operate, SLOAD, operate, SLOAD, inner, 0x5c41e603ca06b0353ac94690d04dbfd757, 0x904000808280212000004c4001200000520010004000002040a20800020
operate, SLOAD, operate, SLOAD, inner, 0x904000808280212000004c4001200000520010004000002040a20800020, 0x1000e642000002ba0642b83921b08007c0991a40a00071925e6bb6364925297
operate, SLOAD, operate, SLOAD, inner, 0x1000e642000002ba0642b83921b08007c0991a40a00071925e6bb6364925297, 0x3650fba01ae9ce77839a38d7fe0df
operate, SLOAD, operate, SLOAD, inner, 0x3650fba01ae9ce77839a38d7fe0df, 0x609800c798562d8a2c5c55dd388d
operate, SLOAD, operate, SSTORE, inner, 0x609800c798562d8a2c5c55dd388d, 0x30477b93a1646b9ee0d4737a2a852
operate, SSTORE, operate, SLOAD, inner, 0x30477b93a1646b9ee0d4737a2a852, 0x8a47f0bae421a72bd67ea1acb5fb84184
operate, SLOAD, operate, SSTORE, inner, 0x8a47f0bae421a72bd67ea1acb5fb84184, 0x539dbf94fef039c042e9c7cbbecb0de63b
operate, SSTORE, operate, SLOAD, inner, 0x539dbf94fef039c042e9c7cbbecb0de63b, 0x10026977800000000000000000b65df6bb1e4bd1c6e222fbd000053afac5e28
