Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x718000000000000ad05ccc4f10045630fb830b95127b3be57f800
operate, SSTORE, addr, 0x000000000000ad05ccc4f10045630fb830b95127, inner, 0x718000000000000ad05ccc4f10045630fb830b95127b3be57f800, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x000000000000ad05ccc4f10045630fb830b95127, CALL, 1, 2
addr, 0x000000000000ad05ccc4f10045630fb830b95127, func, undefined, inner, 1, N
func, undefined, operate, SLOAD, inner, N, 0x983e96c26782a8db500a6fb8ab47a52e1b44862d
operate, SLOAD, addr, 0x983e96c26782a8db500a6fb8ab47a52e1b44862d, inner, 0x983e96c26782a8db500a6fb8ab47a52e1b44862d, 2
addr, 0x000000000000ad05ccc4f10045630fb830b95127, addr, 0x983e96c26782a8db500a6fb8ab47a52e1b44862d, DELEGATECALL, 2, 3
addr, 0x983e96c26782a8db500a6fb8ab47a52e1b44862d, func, bulkExecute((((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),uint8,bytes32,bytes32,bytes,uint8,uint256),((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),uint8,bytes32,bytes32,bytes,uint8,uint256))[]), inner, 2, 40
func, bulkExecute((((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),uint8,bytes32,bytes32,bytes,uint8,uint256),((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),uint8,bytes32,bytes32,bytes,uint8,uint256))[]), operate, SLOAD, inner, 40, 0x1
operate, SLOAD, operate, SLOAD, inner, 0x1, 0x0
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x0
operate, SSTORE, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x1
operate, SSTORE, addr, 0x000000000000ad05ccc4f10045630fb830b95127, inner, 0x1, 3
addr, 0x000000000000ad05ccc4f10045630fb830b95127, addr, 0x000000000000ad05ccc4f10045630fb830b95127, DELEGATECALL, 3, 4
addr, 0x000000000000ad05ccc4f10045630fb830b95127, func, _execute(((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),uint8,bytes32,bytes32,bytes,uint8,uint256),((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),uint8,bytes32,bytes32,bytes,uint8,uint256)), inner, 3, 40
func, _execute(((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),uint8,bytes32,bytes32,bytes,uint8,uint256),((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),uint8,bytes32,bytes32,bytes,uint8,uint256)), operate, SLOAD, inner, 40, 0x983e96c26782a8db500a6fb8ab47a52e1b44862d
operate, SLOAD, addr, 0x983e96c26782a8db500a6fb8ab47a52e1b44862d, inner, 0x983e96c26782a8db500a6fb8ab47a52e1b44862d, 4
addr, 0x000000000000ad05ccc4f10045630fb830b95127, addr, 0x983e96c26782a8db500a6fb8ab47a52e1b44862d, DELEGATECALL, 4, 5
addr, 0x983e96c26782a8db500a6fb8ab47a52e1b44862d, func, _execute(((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),uint8,bytes32,bytes32,bytes,uint8,uint256),((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),uint8,bytes32,bytes32,bytes,uint8,uint256)), inner, 4, 40
func, _execute(((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),uint8,bytes32,bytes32,bytes,uint8,uint256),((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),uint8,bytes32,bytes32,bytes,uint8,uint256)), operate, SLOAD, inner, 40, 0x1
operate, SLOAD, operate, SLOAD, inner, 0x1, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x1
operate, SSTORE, operate, SLOAD, inner, 0x1, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, addr, 0x4c2bbdbeccae1c492c681158a46eae498a05627b, inner, 0x0, 5
addr, 0x000000000000ad05ccc4f10045630fb830b95127, addr, 0x4c2bbdbeccae1c492c681158a46eae498a05627b, DELEGATECALL, 5, 6
addr, 0x4c2bbdbeccae1c492c681158a46eae498a05627b, func, _computeRoot(bytes32,bytes32[]), inner, 5, 2
func, _computeRoot(bytes32,bytes32[]), addr, 0x4c2bbdbeccae1c492c681158a46eae498a05627b, innerFuncToReturn, 2, 5
addr, 0x000000000000ad05ccc4f10045630fb830b95127, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 6, 5
operate, SLOAD, addr, 0x0000000000000000000000000000000000000001, inner, 0x68e25ba9bdf16f19b7227e3ee7fff0b93558367587fc73fd50c5d978a0cd227f, 5
addr, 0x000000000000ad05ccc4f10045630fb830b95127, addr, 0x0000000000000000000000000000000000000001, STATICCALL, 5, 6
addr, 0x0000000000000000000000000000000000000001, func, undefined, inner, 5, N
func, undefined, operate, SLOAD, inner, N, 0x3a35a3102b5c6bd1e4d3237248be071ef53c8331
operate, SLOAD, addr, 0x3a35a3102b5c6bd1e4d3237248be071ef53c8331, inner, 0x3a35a3102b5c6bd1e4d3237248be071ef53c8331, 5
addr, 0x000000000000ad05ccc4f10045630fb830b95127, addr, 0x3a35a3102b5c6bd1e4d3237248be071ef53c8331, STATICCALL, 5, 6
addr, 0x3a35a3102b5c6bd1e4d3237248be071ef53c8331, func, isPolicyWhitelisted(address), inner, 5, 1
func, isPolicyWhitelisted(address), operate, SLOAD, inner, 1, 0x1
operate, SLOAD, addr, 0x3a35a3102b5c6bd1e4d3237248be071ef53c8331, innerOperateToReturn, 0x1, 5
addr, 0x983e96c26782a8db500a6fb8ab47a52e1b44862d, addr, 0x000000000000ad05ccc4f10045630fb830b95127, RETURN, 6, 5
addr, 0x000000000000ad05ccc4f10045630fb830b95127, addr, 0x00000000006411739da1c40b106f8511de5d1fac, STATICCALL, 5, 6
addr, 0x00000000006411739da1c40b106f8511de5d1fac, func, canMatchMakerAsk((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),(address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes)), inner, 5, 28
func, canMatchMakerAsk((address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes),(address,uint8,address,address,uint256,uint256,address,uint256,uint256,uint256,(uint16,address)[],uint256,bytes)), addr, 0x00000000006411739da1c40b106f8511de5d1fac, innerFuncToReturn, 28, 5
addr, 0x000000000000ad05ccc4f10045630fb830b95127, addr, 0x000000000000ad05ccc4f10045630fb830b95127, RETURN, 6, 5
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x1
operate, SSTORE, operate, SLOAD, inner, 0x1, 0x0
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x1
operate, SSTORE, operate, SLOAD, inner, 0x1, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, addr, 0x0000000000a39bb272e79075ade125fd351887ac, inner, 0x0, 5
addr, 0x000000000000ad05ccc4f10045630fb830b95127, addr, 0x0000000000a39bb272e79075ade125fd351887ac, CALL, 5, 6
addr, 0x0000000000a39bb272e79075ade125fd351887ac, func, transferFrom(address,address,uint256), inner, 5, 3
func, transferFrom(address,address,uint256), operate, SLOAD, inner, 3, 0x2ab0463ca0c98de2d9b6649dcdb4ab667f12da7
operate, SLOAD, addr, 0x02ab0463ca0c98de2d9b6649dcdb4ab667f12da7, inner, 0x2ab0463ca0c98de2d9b6649dcdb4ab667f12da7, 6
addr, 0x0000000000a39bb272e79075ade125fd351887ac, addr, 0x02ab0463ca0c98de2d9b6649dcdb4ab667f12da7, DELEGATECALL, 6, 7
addr, 0x02ab0463ca0c98de2d9b6649dcdb4ab667f12da7, func, transferFrom(address,address,uint256), inner, 6, 3
func, transferFrom(address,address,uint256), operate, SLOAD, inner, 3, 0x3faa2522600000
operate, SLOAD, operate, SSTORE, inner, 0x3faa2522600000, 0x0
operate, SSTORE, operate, SLOAD, inner, 0x0, 0xd
operate, SLOAD, operate, SSTORE, inner, 0xd, 0x3faa252260000d
operate, SSTORE, event, log, inner, 0x3faa252260000d, LOG3
event, LOG3, addr, 0x02ab0463ca0c98de2d9b6649dcdb4ab667f12da7, innerEventToReturn, LOG3, 6
addr, 0x983e96c26782a8db500a6fb8ab47a52e1b44862d, addr, 0x000000000000ad05ccc4f10045630fb830b95127, RETURN, 7, 6
addr, 0x4c2bbdbeccae1c492c681158a46eae498a05627b, addr, 0x000000000000ad05ccc4f10045630fb830b95127, RETURN, 6, 5
operate, SLOAD, addr, 0x00000000000111abe46ff893f3b2fdf1f759a8a8, inner, 0x111abe46ff893f3b2fdf1f759a8a8, 5
addr, 0x000000000000ad05ccc4f10045630fb830b95127, addr, 0x00000000000111abe46ff893f3b2fdf1f759a8a8, CALL, 5, 6
addr, 0x00000000000111abe46ff893f3b2fdf1f759a8a8, func, transferERC721(address,address,address,uint256), inner, 5, 4
func, transferERC721(address,address,address,uint256), operate, SLOAD, inner, 4, 0x1
operate, SLOAD, operate, SLOAD, inner, 0x1, 0x0
operate, SLOAD, addr, 0xb3e51a1affcdf043f7ba4b4a66e4aaf1a36548d6, inner, 0x0, 6
addr, 0x00000000000111abe46ff893f3b2fdf1f759a8a8, addr, 0xb3e51a1affcdf043f7ba4b4a66e4aaf1a36548d6, CALL, 6, 7
addr, 0xb3e51a1affcdf043f7ba4b4a66e4aaf1a36548d6, func, safeTransferFrom(address,address,uint256), inner, 6, 3
func, safeTransferFrom(address,address,uint256), event, log, inner, 3, LOG3
event, LOG3, operate, SLOAD, inner, LOG3, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x0
operate, SSTORE, addr, 0xb3e51a1affcdf043f7ba4b4a66e4aaf1a36548d6, innerOperateToReturn, 0x0, 6
addr, 0x0000000000000000000000000000000000000001, addr, 0x000000000000ad05ccc4f10045630fb830b95127, RETURN, 4, 3
operate, SLOAD, operate, SSTORE, inner, 0x0, 0x0
operate, SSTORE, operate, SLOAD, inner, 0x0, 0x1
operate, SLOAD, operate, SSTORE, inner, 0x1, 0x0
operate, SSTORE, addr, 0xb3e51a1affcdf043f7ba4b4a66e4aaf1a36548d6, innerOperateToReturn, 0x0, 6
addr, 0x3a35a3102b5c6bd1e4d3237248be071ef53c8331, addr, 0x000000000000ad05ccc4f10045630fb830b95127, RETURN, 2, 1
operate, SSTORE, addr, 0x0000000000a39bb272e79075ade125fd351887ac, inner, 0x100000000000000000000000000000000, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x0000000000a39bb272e79075ade125fd351887ac, CALL, 1, 2
addr, 0x0000000000a39bb272e79075ade125fd351887ac, func, withdraw(uint256), inner, 1, 1
func, withdraw(uint256), operate, SLOAD, inner, 1, 0x2ab0463ca0c98de2d9b6649dcdb4ab667f12da7
operate, SLOAD, addr, 0x02ab0463ca0c98de2d9b6649dcdb4ab667f12da7, inner, 0x2ab0463ca0c98de2d9b6649dcdb4ab667f12da7, 2
addr, 0x0000000000a39bb272e79075ade125fd351887ac, addr, 0x02ab0463ca0c98de2d9b6649dcdb4ab667f12da7, DELEGATECALL, 2, 3
addr, 0x02ab0463ca0c98de2d9b6649dcdb4ab667f12da7, func, withdraw(uint256), inner, 2, 1
func, withdraw(uint256), operate, SLOAD, inner, 1, 0x3faa252260000d
operate, SLOAD, operate, SSTORE, inner, 0x3faa252260000d, 0xe
operate, SSTORE, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, inner, 0xe, 3
addr, 0x0000000000a39bb272e79075ade125fd351887ac, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, CALL, 3, 4
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, func, undefined, inner, 3, N
func, undefined, operate, SLOAD, inner, N, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x100000000000000000000000000000000
operate, SLOAD, operate, SLOAD, inner, 0x100000000000000000000000000000000, 0x718000000000000ad05ccc4f10045630fb830b95127b3be57f800
operate, SLOAD, event, log, inner, 0x718000000000000ad05ccc4f10045630fb830b95127b3be57f800, LOG3
event, LOG3, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, innerEventToReturn, LOG3, 3
addr, 0x00000000006411739da1c40b106f8511de5d1fac, addr, 0x000000000000ad05ccc4f10045630fb830b95127, RETURN, 2, 1
operate, SSTORE, addr, 0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5, inner, 0xb00b5babefeebabebeefbabeb00b5babefeebabebeefbabeb00b5babefeebabe, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5, CALL, 1, 2
addr, 0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5, func, undefined, inner, 1, N
func, undefined, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, innerFuncToCall, N, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xc0ffeebabe5d496b2dde509f9fa189c25cf29671, CALL, 1, 2
addr, 0xc0ffeebabe5d496b2dde509f9fa189c25cf29671, func, undefined, inner, 1, N
func, undefined, 
