Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, addr, 0x5f98805a4e8be255a32880fdec7f6728c6568ba0, inner, 0x0, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x5f98805a4e8be255a32880fdec7f6728c6568ba0, CALL, 1, 2
addr, 0x5f98805a4e8be255a32880fdec7f6728c6568ba0, func, approve(address,uint256), inner, 1, 2
func, approve(address,uint256), operate, SSTORE, inner, 2, 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
operate, SSTORE, event, log, inner, 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff, LOG3
event, LOG3, addr, 0x5f98805a4e8be255a32880fdec7f6728c6568ba0, innerEventToReturn, LOG3, 1
addr, 0x5f98805a4e8be255a32880fdec7f6728c6568ba0, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 2, 1
operate, SSTORE, addr, 0x60594a405d53811d3bc4766596efd80fd545a270, inner, 0x84, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x60594a405d53811d3bc4766596efd80fd545a270, CALL, 1, 2
addr, 0x60594a405d53811d3bc4766596efd80fd545a270, func, swap(address,bool,int256,uint160,bytes), inner, 1, 5
func, swap(address,bool,int256,uint160,bytes), operate, SLOAD, inner, 5, 0x10000b400b40016feda7e000000000000000005fafd60bb63bf62d4df5e42
operate, SLOAD, operate, SLOAD, inner, 0x10000b400b40016feda7e000000000000000005fafd60bb63bf62d4df5e42, 0x10000b400b40016feda7e000000000000000005fafd60bb63bf62d4df5e42
operate, SLOAD, operate, SSTORE, inner, 0x10000b400b40016feda7e000000000000000005fafd60bb63bf62d4df5e42, 0xb400b40016feda7e000000000000000005fafd60bb63bf62d4df5e42
operate, SSTORE, operate, SLOAD, inner, 0xb400b40016feda7e000000000000000005fafd60bb63bf62d4df5e42, 0xcb0fd7619c22a5fa3ed2
operate, SLOAD, operate, SLOAD, inner, 0xcb0fd7619c22a5fa3ed2, 0x112c612cbaee690de6c96af2b4dc40b
operate, SLOAD, operate, SLOAD, inner, 0x112c612cbaee690de6c96af2b4dc40b, 0x40a00000410021801561401a081030c5401842886a0894d2ec008a0522022b2
operate, SLOAD, operate, SLOAD, inner, 0x40a00000410021801561401a081030c5401842886a0894d2ec008a0522022b2, 0x100000000000000000004b4a0f99f2168273d6547fffb5123be6e926492e873
operate, SLOAD, operate, SLOAD, inner, 0x100000000000000000004b4a0f99f2168273d6547fffb5123be6e926492e873, 0x100000000000000000004b4a0509f9bcf8099ba32fffb51bca586de649262e7
operate, SLOAD, operate, SSTORE, inner, 0x100000000000000000004b4a0509f9bcf8099ba32fffb51bca586de649262e7, 0x100000000000000000004b4a0fa18285b402ce8cefffb5123505dd26492e8d3
operate, SSTORE, operate, SLOAD, inner, 0x100000000000000000004b4a0fa18285b402ce8cefffb5123505dd26492e8d3, 0xb400b40016feda7e000000000000000005fafd60bb63bf62d4df5e42
operate, SLOAD, operate, SSTORE, inner, 0xb400b40016feda7e000000000000000005fafd60bb63bf62d4df5e42, 0xb400b40017feda7f000000000000000005fb1603fa4cb1890779822c
operate, SSTORE, operate, SSTORE, inner, 0xb400b40017feda7f000000000000000005fb1603fa4cb1890779822c, 0x112c615f36a1e65170ddd4e09f3e48d
operate, SSTORE, addr, 0x6b175474e89094c44da98b954eedeac495271d0f, inner, 0x112c615f36a1e65170ddd4e09f3e48d, 2
addr, 0x60594a405d53811d3bc4766596efd80fd545a270, addr, 0x6b175474e89094c44da98b954eedeac495271d0f, CALL, 2, 3
addr, 0x6b175474e89094c44da98b954eedeac495271d0f, func, transfer(address,uint256), inner, 2, 2
func, transfer(address,uint256), operate, SLOAD, inner, 2, 0x38d0c88acb9dae0bc4c22
operate, SLOAD, operate, SLOAD, inner, 0x38d0c88acb9dae0bc4c22, 0x38d0c88acb9dae0bc4c22
operate, SLOAD, operate, SSTORE, inner, 0x38d0c88acb9dae0bc4c22, 0x38c80a8fdf754a51dd08e
operate, SSTORE, operate, SLOAD, inner, 0x38c80a8fdf754a51dd08e, 0x8
operate, SLOAD, operate, SSTORE, inner, 0x8, 0x8bdfaec2863b9e7b9c
operate, SSTORE, event, log, inner, 0x8bdfaec2863b9e7b9c, LOG3
event, LOG3, addr, 0x6b175474e89094c44da98b954eedeac495271d0f, innerEventToReturn, LOG3, 2
addr, 0x60594a405d53811d3bc4766596efd80fd545a270, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 3, 2
addr, 0x60594a405d53811d3bc4766596efd80fd545a270, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, STATICCALL, 2, 3
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, balanceOf(address), inner, 2, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x5ca272962187798437
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerOperateToReturn, 0x5ca272962187798437, 2
addr, 0x6b175474e89094c44da98b954eedeac495271d0f, addr, 0x60594a405d53811d3bc4766596efd80fd545a270, RETURN, 3, 2
addr, 0x60594a405d53811d3bc4766596efd80fd545a270, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, CALL, 2, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, func, uniswapV3SwapCallback(int256,int256,bytes), inner, 2, 3
func, uniswapV3SwapCallback(int256,int256,bytes), operate, SLOAD, inner, 3, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x84
operate, SLOAD, operate, SSTORE, inner, 0x84, 0x84
operate, SSTORE, addr, 0x16980c16811bde2b3358c1ce4341541a4c772ec9, inner, 0x84, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x16980c16811bde2b3358c1ce4341541a4c772ec9, CALL, 3, 4
addr, 0x16980c16811bde2b3358c1ce4341541a4c772ec9, func, swap(address,bool,int256,uint160,bytes), inner, 3, 5
func, swap(address,bool,int256,uint160,bytes), operate, SLOAD, inner, 5, 0x10000400040002700002f0000000000000001009c0bc58bbcb68daefdccc0
operate, SLOAD, operate, SLOAD, inner, 0x10000400040002700002f0000000000000001009c0bc58bbcb68daefdccc0, 0x10000400040002700002f0000000000000001009c0bc58bbcb68daefdccc0
operate, SLOAD, operate, SSTORE, inner, 0x10000400040002700002f0000000000000001009c0bc58bbcb68daefdccc0, 0x400040002700002f0000000000000001009c0bc58bbcb68daefdccc0
operate, SSTORE, operate, SLOAD, inner, 0x400040002700002f0000000000000001009c0bc58bbcb68daefdccc0, 0xa117db5e3174bcc6c5f17
